Rank,Game,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,date,year,month,Avg_players,Gain_players,Peak_players,avg_peak_perc_players
4,Counter-Strike: Global Offensive,66797699,1511619,828949,4667,197089,89902,2034,44.19,2016-01-01,2020,March,671033.29,127054.13,1145972,58.5558%
6,Grand Theft Auto V,56174067,1056098,184708,3278,110705,75604,1421,53.19,2016-01-01,2020,March,116386.37,-26338.11,209493,55.5562%
7,Dota 2,41849138,544228,164524,1490,35212,56324,732,76.9,2016-01-01,2020,March,437147.36,31168.71,743933,58.7617%
16,Path of Exile,13926308,292398,117037,3236,17070,18743,393,47.63,2016-01-01,2020,March,42332.85,24751.19,132508,31.9474%
17,PLAYERUNKNOWN'S BATTLEGROUNDS,13775512,623229,72358,1359,57987,18540,838,22.1,2016-01-01,2020,March,228467.17,-29117.16,562028,40.6505%
19,Tom Clancy's Rainbow Six Siege,13071194,1143568,69354,3068,152219,17592,1539,11.43,2016-01-01,2020,March,119877.88,22210.54,198567,60.3715%
20,Dead by Daylight,11911331,596711,50220,1458,55228,16031,803,19.96,2016-01-01,2020,March,30347.14,6925.91,51146,59.3343%
22,Rocket League,10498059,422375,189258,1518,83660,14129,568,24.85,2016-01-01,2020,March,48445.13,7852.98,119124,40.6678%
23,DOOM Eternal,10275689,332177,140962,4196,48508,13829,447,30.93,2016-01-01,2020,March,31279.17,-2985.68,84865,36.8576%
26,Destiny 2,9267132,619405,85865,2334,50146,12472,833,14.96,2016-01-01,2020,March,77571.4,14522.77,117425,66.0604%
27,RimWorld,6548503,61694,40076,153,4834,8813,83,106.14,2016-01-01,2020,March,26111.78,10674.82,41637,62.7129%
30,Rust,4988329,163575,24070,494,16495,6713,220,30.5,2016-01-01,2020,March,58442.03,8366.82,102296,57.1303%
32,Half-Life: Alyx,4770477,60071,303620,2399,11019,6420,80,79.41,2016-01-01,2020,March,7585.02,-745.6944444444445,16459,46.0843%
36,Ori and the Will of the Wisps,4166360,142104,68414,1502,18078,5607,191,29.32,2016-01-01,2020,March,8324.39,-695.8366666666667,31224,26.6602%
39,Age of Empires II: Definitive Edition,3744552,32795,54835,135,3459,5039,44,114.18,2016-01-01,2020,March,13365.76,2213.73,30989,43.1307%
41,NBA 2K20,3731517,332195,40615,1159,44954,5022,447,11.23,2016-01-01,2020,March,20442.64,258.77,33858,60.3776%
42,Black Desert Online,3578533,176093,13271,359,11948,4816,237,20.32,2016-01-01,2020,March,24060.37,9027.52,37034,64.9683%
46,ARK: Survival Evolved,3024507,225503,23061,625,16504,4070,303,13.41,2016-01-01,2020,March,87738.7,34344.52,157355,55.7584%
47,Monster Hunter: World,2987052,231102,22233,764,21266,4020,311,12.93,2016-01-01,2020,March,78026.05,-28785.88,219544,35.5401%
50,SMITE,2859327,131331,12149,378,14324,3848,176,21.77,2016-01-01,2020,March,12686.08,2096.09,25334,50.0753%
54,World of Warships,2333880,61758,11615,160,4587,3141,83,37.79,2016-01-01,2020,March,10651.79,183.58,19402,54.9005%
56,The Elder Scrolls Online,2102807,71605,25190,200,6076,2830,96,29.37,2016-01-01,2020,March,14755.91,-982.79,25432,58.021%
59,FINAL FANTASY XIV Online,1913929,240505,11083,1144,16591,2575,323,7.96,2016-01-01,2020,March,14297.16,1241.48,23360,61.2036%
61,MapleStory,1884405,65391,20913,172,4217,2536,88,28.82,2016-01-01,2020,March,1140.76,334.36,2545,44.8236%
70,VRChat,1622188,66846,51406,223,6981,2183,89,24.27,2016-01-01,2020,March,9466.15,1486.45,14931,63.3993%
73,F1 2019,1508101,25448,181862,197,7070,2029,34,59.26,2016-01-01,2020,March,4421.41,2958.5,12736,34.7158%
82,The Witcher 3: Wild Hunt,1320731,86371,17963,270,12105,1777,116,15.29,2016-01-01,2020,March,21457.11,-6289.73,49787,43.0978%
85,Black Mesa,1186651,22545,35028,96,3762,1597,30,52.63,2016-01-01,2020,March,2768.8,2131.67,7116,38.9095%
86,Resident Evil 2,1179402,81124,20170,307,14722,1587,109,14.54,2016-01-01,2020,March,2518.13,-91.42,5432,46.3573%
87,DayZ,1174659,95072,9120,273,9339,1580,127,12.36,2016-01-01,2020,March,15527.42,-2211.59,27255,56.9709%
90,Mortal Kombat 11,1090406,41163,44425,262,7703,1467,55,26.49,2016-01-01,2020,March,1998.61,-6.37,5016,39.8447%
91,Slay the Spire,1084648,22361,36941,205,3804,1459,30,48.51,2016-01-01,2020,March,7990.12,-1524.92,10626,75.1941%
92,Hunt: Showdown,1078524,94781,8066,338,9326,1451,127,11.38,2016-01-01,2020,March,6019.75,532.01,12856,46.8244%
93,Stardew Valley,1066389,96548,13850,256,15192,1435,129,11.05,2016-01-01,2020,March,27388.06,3690.9,45512,60.1777%
95,Football Manager 2020,1048300,28962,16549,118,2748,1410,38,36.2,2016-01-01,2020,March,76022.26,28470.63,189230,40.1745%
96,Borderlands 3,1045528,120569,10733,597,16216,1407,162,8.67,2016-01-01,2020,March,53124.97,-4953.831111111111,93597,56.7593%
97,Warframe,1011639,105581,52982,349,10856,1361,142,9.58,2016-01-01,2020,March,52827.37,11892.49,88215,59.8848%
98,Street Fighter V,1002428,32354,29213,94,3860,1349,43,30.98,2016-01-01,2020,March,1663.67,-661.12,2485,66.9485%
105,DOOM,924047,65634,19331,332,14243,1243,88,14.08,2016-01-01,2020,March,5246.29,2421.31,12893,40.691%
108,Knight Online,915978,13069,6808,51,781,1232,17,70.09,2016-01-01,2020,March,1674.56,375.44,3532,47.4111%
110,Motorsport Manager,878718,2338,32394,19,318,1182,3,375.84,2016-01-01,2020,March,1021.55,465.25,2381,42.9042%
124,Yu-Gi-Oh! Duel Links,769014,14198,10051,49,1660,1035,19,54.16,2016-01-01,2020,March,7169.37,1362.25,11218,63.9095%
129,7 Days to Die,729236,80171,12573,230,7206,981,107,9.1,2016-01-01,2020,March,18107.24,1155.18,35936,50.3875%
130,The Forest,728395,66124,15368,243,12900,980,88,11.02,2016-01-01,2020,March,9235.19,2510.04,27977,33.0099%
131,Farming Simulator 19,726147,72793,7387,270,7167,977,97,9.98,2016-01-01,2020,March,14142.42,2251.59,33967,41.6358%
135,eFootball PES 2020,714366,24876,18115,96,3770,961,33,28.72,2016-01-01,2020,March,10646.73,2016.08,20951,50.8173%
136,Golf It!,695277,4817,28907,39,1843,935,6,144.34,2016-01-01,2020,March,554.68,166.45,1834,30.2443%
