gamename,avg,gain,peak,avg_peak_perc,date
Counter-Strike: Global Offensive,741013.24,-2196.42,1123485,65.9567%,2021-02-01
Counter-Strike: Global Offensive,743209.66,25405.91,1124553,66.0893%,2021-01-01
Counter-Strike: Global Offensive,717803.75,49049.17,1164396,61.646%,2020-12-01
Counter-Strike: Global Offensive,668754.58,55087.89,1037464,64.4605%,2020-11-01
Counter-Strike: Global Offensive,613666.69,6816.37,943876,65.0156%,2020-10-01
Counter-Strike: Global Offensive,606850.32,-33107.34,977769,62.0648%,2020-09-01
Counter-Strike: Global Offensive,639957.66,14056.85,925348,69.1586%,2020-08-01
Counter-Strike: Global Offensive,625900.81,-45746.65,857560,72.9862%,2020-07-01
Counter-Strike: Global Offensive,671647.46,-97147.79,1009467,66.5349%,2020-06-01
Counter-Strike: Global Offensive,768795.25,-88808.97,1193359,64.4228%,2020-05-01
Counter-Strike: Global Offensive,857604.22,186570.94,1305714,65.6809%,2020-04-01
Counter-Strike: Global Offensive,671033.29,127054.13,1145972,58.5558%,2020-03-01
Counter-Strike: Global Offensive,543979.15,42783.15,916996,59.3219%,2020-02-01
Counter-Strike: Global Offensive,501196.0,44494.44,817229,61.3287%,2020-01-01
Dota 2,404832.13,-27839.52,651615,62.1275%,2021-02-01
Dota 2,432671.65,10119.33,694613,62.2896%,2021-01-01
Dota 2,422552.32,-3352.52,697833,60.5521%,2020-12-01
Dota 2,425904.83,19543.48,711824,59.8329%,2020-11-01
Dota 2,406361.36,-2248.43,723280,56.1831%,2020-10-01
Dota 2,408609.78,-21107.34,670547,60.9368%,2020-09-01
Dota 2,429717.12,-20496.87,666138,64.5087%,2020-08-01
Dota 2,450213.99,-6970.43,712610,63.1782%,2020-07-01
Dota 2,457184.42,-27004.6,733294,62.3467%,2020-06-01
Dota 2,484189.02,-9111.25,793135,61.0475%,2020-05-01
Dota 2,493300.27,56152.91,801121,61.5763%,2020-04-01
Dota 2,437147.36,31168.71,743933,58.7617%,2020-03-01
Dota 2,405978.65,27053.22,663812,61.1587%,2020-02-01
Dota 2,378925.43,-5254.32,616415,61.4725%,2020-01-01
