Rank,Game,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,date,Avg_players,Gain_players,Peak_players,avg_peak_perc_players
2,Counter-Strike: Global Offensive,2016,47832863,830105,372654,2197,120849,64378,1117,57.62,2016-01-01,365371.09,-12076.02,667432,54.7428%
3,Dota 2,2016,45185893,433397,315083,1100,44074,60815,583,104.26,2016-01-01,612174.78,38830.53,1067949,57.3225%
5,Call of Duty: Black Ops III,2016,16153057,1151578,71639,3620,214054,21740,1549,14.03,2016-01-01,14292.49,-3074.66,30760,46.4645%
16,Tom Clancy's Rainbow Six Siege,2016,4866039,242134,25742,694,42244,6549,325,20.1,2016-01-01,10244.29,2302.84,20006,51.2061%
19,Grand Theft Auto V,2016,4014296,407172,32724,1197,85441,5402,548,9.86,2016-01-01,46993.33,3118.61,93726,50.1391%
20,SMITE,2016,3788701,114041,70542,296,15389,5099,153,33.22,2016-01-01,10017.13,2280.18,21473,46.6499%
26,Arma 3,2016,2542838,86219,32132,275,8771,3422,116,29.49,2016-01-01,22559.44,3797.34,43922,51.3625%
27,DayZ,2016,2321012,71715,30208,208,6985,3123,96,32.36,2016-01-01,8329.42,888.95,16423,50.718%
30,ARK: Survival Evolved,2016,1951875,93060,19486,241,9575,2627,125,20.97,2016-01-01,39054.41,6961.48,67018,58.2745%
35,Path of Exile,2016,1701987,63038,5337,157,5160,2290,84,27.0,2016-01-01,9702.54,2.73,18744,51.7634%
36,Fallout 4,2016,1681938,269643,12713,781,51042,2263,362,6.24,2016-01-01,54826.47,-39309.9,119272,45.9676%
37,Rocket League,2016,1566964,151028,68040,402,36282,2108,203,10.38,2016-01-01,24187.59,3790.17,46114,52.4517%
38,Dragon's Dogma: Dark Arisen,2016,1511191,34912,37730,381,4363,2033,46,43.29,2016-01-01,13191.52,-1031.1063636363635,27259,48.3933%
40,Punch Club,2016,1410837,11803,43813,61,2345,1898,15,119.53,2016-01-01,1390.28,1388.76,4277,32.506%
42,Rust,2016,1346240,47734,30867,137,6432,1811,64,28.2,2016-01-01,27647.06,9173.0,50628,54.6082%
44,The Elder Scrolls V: Skyrim,2016,1192580,32134,32296,82,4854,1605,43,37.11,2016-01-01,31268.14,1570.55,60553,51.6376%
49,Euro Truck Simulator 2,2016,1109797,47937,33826,168,7000,1493,64,23.15,2016-01-01,13443.43,1918.39,33173,40.5252%
